Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC ,System,Short,Dynamic,System*Short
Park,2015,01b,20,20,System,Long,Static,-0.214495497,NA,0.100575104,NA,-0.243018568,0.100738225,NA,NA,NA,1,0,0,0
Park,2015,01c,20,20,System,Long,Static,-0.324239189,NA,0.101314138,NA,-0.020894068,0.100005457,NA,NA,NA,1,0,0,0
Rummer,2011,1,26,26,System,Long,Static,0.901235901,NA,0.12485272,NA,NA,NA,NA,NA,NA,1,0,0,0
Rummer,2011,2,24,24,System,Long,Static,1.448315248,NA,0.125735324,NA,NA,NA,NA,NA,NA,1,0,0,0
Sabet,2010,1,60,60,System,Short,Dynamic,0.202509156,-1.216504781,0.033504208,0.039499516,NA,NA,0,0.032306528,0.016410382,1,1,1,1
Schmidt-Weigand,2010,01a,15,15,System,Short,Dynamic,0.368494996,-0.098058068,0.135970288,0.13349359,NA,NA,0,0.132730768,0.066516442,1,1,1,1
Schmidt-Weigand,2010,01b,15,15,System,Short,Dynamic,0.448071265,0.565685425,0.137436915,0.138666667,NA,NA,0,0.137557456,0.067723114,1,1,1,1
Schmidt-Weigand,2010,01c,15,15,System,Short,Dynamic,-0.17639431,0.599625351,0.133851916,0.139325843,0.005255883,0.133333794,0,0.131570158,0.06622629,1,1,1,1
Schmidt-Weigand,2010,2,15,16,Self,Short,Dynamic,0.353452416,0.153846154,0.131277925,0.129548419,NA,NA,0,0.130044053,0.064802263,0,1,1,0
Schnotz,2014,01a,30,30,System,Long,Static,NA,0.447213595,NA,0.068333333,NA,NA,NA,NA,NA,1,0,0,0
Schnotz,2014,01b,30,28,System,Long,Static,NA,0.416666667,NA,0.070544267,NA,NA,NA,NA,NA,1,0,0,0
Schoor,2011,1,24,24,System,Long,Static,-0.237322238,-0.220371107,0.086076291,0.083839202,-0.271174176,0.084099327,0,0.083877781,0.041803195,1,0,0,0
Sch?ler,2013,1,20,20,System,Long,Dynamic,-0.081446008,0.087795313,0.100082918,0.10009635,NA,NA,0,0.099910618,0.049977654,1,0,1,0
Sch?ler,2013,02a,21,21,System,Long,Dynamic,0.197247129,0.378571817,0.095701267,0.096944245,NA,NA,0,0.096126955,0.047841239,1,0,1,0
Sch?ler,2013,02b,20,20,Self,Long,Dynamic,0.310955439,0.1959333,0.101208666,0.100479873,NA,NA,0,0.100761582,0.050190395,0,0,1,0
Sch?ler,2012,1,23,25,System,Long,Static,0.796009764,-0.326602,0.09089715,0.084589395,NA,NA,0,0.080769892,0.041061973,1,0,0,0
Seufert,2009,1,17,17,Self,Long,Static,0.317245351,0.822274914,0.119127127,0.127590236,NA,NA,0,0.121483219,0.059783055,0,0,0,0
Seufert,2009,2,40,38,System,Long,Static,0.592641511,0.176249314,0.053567225,0.051802548,NA,NA,0,0.051985568,0.025825392,1,0,0,0
Shih,1996,1,44,47,Self,NA,Dynamic,-0.179418718,NA,0.044180743,NA,NA,NA,NA,NA,NA,0,-1,1,0
Stiller,2009,01a,29,28,System,Long,Static,0.367152287,0.315891305,0.072068736,0.071072372,-0.136219475,0.070359814,0,0.07121437,0.035353343,1,0,0,0
Stiller,2009,01b,25,28,Self,Long,Static,-0.204752497,0.085558207,0.076140926,0.075783344,-0.25417444,0.076452993,0,0.075548733,0.037815683,0,0,0,0
Tabbers,2004,01a,30,27,Self,Long,Static,-0.821135445,-0.624584084,0.076284962,0.073792346,-0.41244885,0.071862599,0,0.074868843,0.036309711,0,0,0,0
