ExperimentID, StudyID, Authors, Year, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC 
Park (2015) 33-01a,33,Park,2015,20,20,1,0,0,NA,NA,NA,NA,-0.6702738,0.105615837,NA,NA,NA
Rummer (2011) 35-01,35,Rummer,2011,26,26,1,0,0,0.577344904,-0.223850745,0.080128146,0.077404896,NA,NA,0,0.075680316,0.038151329
Rummer (2011) 35-02,35,Rummer,2011,24,24,1,0,0,0.582367339,0.008917955,0.086866164,0.083334162,NA,NA,0,0.083387099,0.041680525
Sabet (2010) 36-01,36,Sabet,2010,60,60,1,1,1,0.202509156,NA,0.033504208,NA,NA,NA,NA,NA,NA
Schmidt-Weigand (2010) 38-01a,38,Schmidt-Weigand,2010,15,15,1,1,1,0.366468851,-0.098058068,0.0679727,0.13349359,NA,NA,0,0.13273408,0.06651727
Schmidt-Weigand (2010) 38-01b,38,Schmidt-Weigand,2010,15,15,1,1,1,0.443132387,0.565685425,0.068681575,0.138666667,NA,NA,0,0.137510892,0.067711473
Schmidt-Weigand (2010) 38-01c,38,Schmidt-Weigand,2010,15,15,1,1,1,-0.061715311,0.599625351,0.066807614,0.139325843,NA,NA,0,0.132716232,0.066512808
Schmidt-Weigand (2010) 38-02,38,Schmidt-Weigand,2010,15,16,0,1,1,0.352933962,0.153846154,0.065636007,0.129548419,NA,NA,0,0.130042767,0.064801942
Schnotz (2014) 39-01a,39,Schnotz,2014,30,30,1,0,0,NA,0.447213595,NA,0.068333333,NA,NA,NA,NA,NA
Schnotz (2014) 39-01b,39,Schnotz,2014,30,28,1,0,0,NA,0.416666667,NA,0.070544267,NA,NA,NA,NA,NA
Schoor (2011) 40-01,40,Schoor,2011,24,24,1,0,0,-0.226526238,-0.220371107,0.043017086,0.083839202,-0.271174176,0.084099327,0,0.083852998,0.041797
Sch?ler (2013) 42-01,42,Sch?ler,2013,20,20,1,0,1,-0.081446008,0.087795313,0.100082918,0.10009635,NA,NA,0,0.099910618,0.049977654
Sch?ler (2013) 42-02a,42,Sch?ler,2013,21,21,1,0,1,0.197247129,0.378571817,0.095701267,0.096944245,NA,NA,0,0.096126955,0.047841239
Sch?ler (2013) 42-02b,42,Sch?ler,2013,20,20,0,0,1,0.310955439,0.1959333,0.101208666,0.100479873,NA,NA,0,0.100761582,0.050190395
Sch?ler (2012) 43-01,43,Sch?ler,2012,23,25,1,0,0,0.781673081,-0.326602,0.045329698,0.084589395,NA,NA,0,0.080818667,0.041074167
Seufert (2009) 44-01,44,Seufert,2009,17,17,0,0,0,0.317245351,0.822274914,0.119127127,0.127590236,NA,NA,0,0.121483219,0.059783055
Seufert (2009) 44-02,44,Seufert,2009,40,38,1,0,0,0.592641511,0.174292082,0.053567225,0.025899063,NA,NA,0,0.051978133,0.025823533
Shih (1996) 45-01,45,Shih,1996,44,47,0,NA,1,-0.179418718,NA,0.044180743,NA,NA,NA,NA,NA,NA
Stiller (2009) 46-01a,46,Stiller,2009,29,28,1,0,0,0.519889049,0.315891305,0.024218727,0.071072372,-0.136219475,0.070359814,0,0.0716376,0.03545915
Stiller (2009) 46-01b,46,Stiller,2009,25,28,0,0,0,-0.267969339,0.085558207,0.025489936,0.075783344,-0.137134527,0.0758917,0,0.075497708,0.037802927
Tabbers (2004) 47-01a,47,Tabbers,2004,30,27,0,1,0,-0.821135445,-0.624584084,0.076284962,0.073792346,-0.41244885,0.071862599,0,0.074868843,0.036309711
Tabbers (2004) 47-01b,47,Tabbers,2004,26,28,0,1,0,-0.562210693,-0.343992343,0.077102499,0.075271479,-0.310093208,0.075066174,0,0.075966705,0.037535676
Tindall-Ford (1997) 48-01,48,Tindall-Ford,1997,10,10,1,0,0,0.034999645,0.647583009,0.100756293,0.105885228,NA,NA,0,0.200566629,0.100141657
Tindall-Ford (1997) 48-02,48,Tindall-Ford,1997,11,11,1,0,0,1.727209845,1.303840481,0.130395768,0.220454545,-0.764514585,0.097673446,0,0.232999957,0.103704489
Tindall-Ford (1997) 48-03,48,Tindall-Ford,1997,12,12,1,0,0,0.138086764,0.613457906,0.08429335,0.060339875,-0.346030535,0.05988713,0,0.1684318,0.0837742
van den Broek (2014) 49-01,49,van den Broek,2014,41,43,0,1,0,-0.117276485,0.284081515,0.047727926,0.048126429,NA,NA,0,0.04744769,0.023773422
Winslow (2012) 52-01,52,Winslow,2012,24,21,0,0,1,0.17053897,0.873431195,0.089608865,0.097762182,NA,NA,0,0.090941045,0.045056761
Atkinson (2002) 54-01a,54,Atkinson,2002,10,10,0,1,0,NA,0.465150348,NA,0.068621685,NA,NA,NA,NA,NA
Atkinson (2002) 54-01b,54,Atkinson,2002,10,10,0,1,0,NA,0.5763861,NA,0.0701224,NA,NA,NA,NA,NA
Atkinson (2002) 54-02,54,Atkinson,2002,25,25,0,1,0,NA,0.262634686,NA,0.026931509,NA,NA,NA,NA,NA
Moreno (1999) 55-01,55,Moreno,1999,81,41,1,1,1,1.154253183,1.06,0.021150477,0.041340841,NA,NA,0,0.041750379,0.019621595
Moreno (1999) 55-02,55,Moreno,1999,60,58,1,1,1,0.780635634,1.09,0.018295968,0.038942368,NA,NA,0,0.037513478,0.01785537
Moreno (2001) 56-04a,56,Moreno,2001,15,17,0,1,1,0.595183888,0.593819623,0.131025256,0.130999911,NA,NA,0,0.131012373,0.064125593
Moreno (2001) 56-04b,56,Moreno,2001,16,16,0,1,1,1.050145005,1.573516263,0.142231321,0.163686772,NA,NA,0,0.150819066,0.068954767
Moreno (2001) 56-05a,56,Moreno,2001,19,19,0,1,1,0.716426867,1.387996115,0.112016677,0.130612279,NA,NA,0,0.11834718,0.055903045
Moreno (2001) 56-05b,56,Moreno,2001,21,20,0,1,1,0.592696019,1.697347163,0.101903055,0.13275304,NA,NA,0,0.109887426,0.051877106
